# NER词典 - 从生产数据库自动生成
# 格式: word	LABEL (BRAND/CATEGORY/MODIFIER/ATTRIBUTE)
# 品牌: 54911 条 | 品类: 10918 条 | 属性: 77370 条 | 修饰词: 31 条
# 总计: 96244 条

DP久量	BRAND
Duration power	BRAND
古迪	BRAND
暖芬	BRAND
NuanFen	BRAND
缤飞蝶	BRAND
Mariposas	BRAND
固特异	BRAND
Goodyear	BRAND
通宝	BRAND
TOMBO	BRAND
飓马	BRAND
魔爪	BRAND
御MEN	BRAND
北戴河	BRAND
BDH	BRAND
京配	BRAND
西昊	BRAND
SIHOO	BRAND
卡帝乐鳄鱼	BRAND
CARTELO	BRAND
D&M	BRAND
超级波克	BRAND
SUPER BOCK	BRAND
XINYUN	BRAND
夜线	BRAND
nightline	BRAND
Fossil	BRAND
贝克曼博士	BRAND
Dr.Beckmann	BRAND
美光	BRAND
Meguiar's	BRAND
金门高粱	BRAND
Snowkids	BRAND
大焊	BRAND
ifound	BRAND
宝华韦健	BRAND
OKwife	BRAND
STIHL	BRAND
邦宝	BRAND
BanBao	BRAND
挺逗	BRAND
智国者	BRAND
